Lead ID,Prospect ID,Conversion Status,Lead Source,Product Category,Region,Customer Segment,Date,Sales
1,101,Converted,Dealer 1, Home Automation,West,Wholesale,06-03-2019,191.472
2,102,Converted,Dealer 3,Electrical fans,South,Wholesale,19-12-2019,59.184
3,103,Not Converted,Dealer 2,Modular Switches,South,Individual,17-01-2019,349.95
4,104,Converted,Dealer 5,MCBs,West,Small Business,09-01-2019,377.928
5,105,Converted,Dealer 1, Home Automation,North,Retail,15-02-2019,15.168
6,106,Converted,Dealer 5, Home Automation,South,Wholesale,14-10-2022,15.588
7,107,Converted,Dealer 5,Modular Switches,Central,Individual,07-04-2019,54.992
8,108,Converted,Dealer 3,Modular Switches,Central,Wholesale,04-07-2022,49.536
9,109,Not Converted,Dealer 2,MCBs,Central,Wholesale,09-08-2019,11.648
10,110,Converted,Dealer 3, Home Automation,Central,Enterprise,15-05-2022,90.57
11,111,Converted,Dealer 1,Modular Switches,West,Retail,13-08-2019,316
12,112,Converted,Dealer 2,Modular Switches,North,Small Business,04-12-2019,153.568
13,113,Converted,Dealer 5,MCBs,West,Enterprise,23-08-2022,1013.488
14,114,Converted,Dealer 2,MCBs,South,Enterprise,13-04-2022,110.376
15,115,Converted,Dealer 3,Cabels ,Central,Small Business,04-10-2022,55.176
16,116,Converted,Dealer 3,Electrical fans,Central,Wholesale,30-08-2022,26.336
17,117,Not Converted,Dealer 4,Cabels ,Central,Wholesale,23-07-2019,59.99
18,118,Converted,Dealer 3,MCBs,South,Retail,19-03-2019,43.12
19,119,Not Converted,Dealer 2,Modular Switches,East,Wholesale,26-01-2019,45.98
20,120,Not Converted,Dealer 1,MCBs,West,Enterprise,20-07-2022,17.456
21,121,Converted,Dealer 4, Home Automation,North,Enterprise,30-05-2022,50.784
22,122,Converted,Dealer 3,Modular Switches,South,Enterprise,03-06-2022,1439.968
23,123,Not Converted,Dealer 3,Cabels ,East,Small Business,30-04-2019,1.728
24,124,Not Converted,Dealer 2,Cabels ,East,Wholesale,10-01-2022,109.592
25,125,Not Converted,Dealer 4,Cabels ,North,Wholesale,30-06-2022,1270.99
26,126,Converted,Dealer 3,Modular Switches,South,Wholesale,08-03-2019,14.368
27,127,Converted,Dealer 1,Electrical fans,East,Wholesale,27-05-2019,18.84
28,128,Not Converted,Dealer 1,Electrical fans,Central,Retail,18-05-2022,104.85
29,129,Converted,Dealer 3,Electrical fans,North,Retail,08-10-2019,484.83
30,130,Converted,Dealer 1,MCBs,Central,Enterprise,14-06-2019,159.968
31,131,Not Converted,Dealer 4,MCBs,North,Enterprise,01-07-2019,623.96
32,132,Converted,Dealer 3, Home Automation,West,Small Business,20-11-2022,89.97
33,133,Not Converted,Dealer 2,Modular Switches,West,Individual,14-05-2019,31.86
34,134,Not Converted,Dealer 5, Home Automation,South,Enterprise,04-11-2022,15.92
35,135,Not Converted,Dealer 1,MCBs,East,Wholesale,14-09-2022,398.352
36,136,Converted,Dealer 3,Modular Switches,Central,Enterprise,30-07-2019,92.064
37,137,Not Converted,Dealer 4,Cabels ,East,Enterprise,05-08-2019,62.958
38,138,Converted,Dealer 5,Modular Switches,West,Retail,18-02-2022,326.646
39,139,Not Converted,Dealer 3,MCBs,Central,Wholesale,12-02-2019,89.97
40,140,Converted,Dealer 6,Cabels ,South,Small Business,12-04-2022,44.46
41,141,Not Converted,Dealer 2,Cabels ,East,Small Business,09-12-2019,12.99
42,142,Not Converted,Dealer 1,Modular Switches,North,Small Business,17-06-2022,18.56
43,143,Converted,Dealer 1,Electrical fans,North,Enterprise,03-03-2022,31.248
44,144,Converted,Dealer 6,MCBs,Central,Small Business,09-08-2022,68.95
45,145,Converted,Dealer 5,MCBs,North,Small Business,18-09-2022,39.98
46,146,Converted,Dealer 4,Electrical fans,North,Small Business,03-05-2019,3.762
47,147,Not Converted,Dealer 2, Home Automation,West,Retail,07-10-2019,34.86
48,148,Converted,Dealer 2, Home Automation,South,Wholesale,09-04-2022,135.8
49,149,Converted,Dealer 1,MCBs,North,Retail,06-04-2019,445.96
50,150,Converted,Dealer 6,Electrical fans,North,Wholesale,09-12-2022,36.24
51,151,Not Converted,Dealer 5,Electrical fans,East,Retail,24-09-2022,170.88
52,152,Not Converted,Dealer 3,Cabels ,Central,Wholesale,05-01-2019,159.984
53,153,Not Converted,Dealer 5, Home Automation,West,Small Business,04-01-2019,447.86
54,154,Not Converted,Dealer 1, Home Automation,Central,Individual,28-07-2019,479.95
55,155,Converted,Dealer 2,Cabels ,East,Small Business,25-07-2019,134.85
56,156,Not Converted,Dealer 4,Modular Switches,East,Individual,21-09-2022,35.28
57,157,Not Converted,Dealer 5, Home Automation,East,Small Business,19-12-2022,128.4
58,158,Converted,Dealer 1,Cabels ,North,Retail,21-01-2022,2.334
59,159,Not Converted,Dealer 1,Electrical fans,Central,Individual,26-02-2019,1.728
60,160,Converted,Dealer 6,Modular Switches,Central,Small Business,05-05-2022,159.04
61,161,Converted,Dealer 6,MCBs,Central,Enterprise,26-12-2022,1363.96
62,162,Converted,Dealer 6,Electrical fans,South,Individual,27-11-2019,102.36
63,163,Converted,Dealer 1,Modular Switches,West,Wholesale,13-09-2019,9.702
64,164,Not Converted,Dealer 6,Cabels ,North,Retail,23-07-2022,113.6
65,165,Not Converted,Dealer 6,Electrical fans,West,Small Business,14-08-2019,69.456
66,166,Not Converted,Dealer 1,Modular Switches,North,Small Business,13-08-2019,4158.912
67,167,Converted,Dealer 1,MCBs,Central,Wholesale,28-10-2019,26.85
68,168,Not Converted,Dealer 4,Electrical fans,South,Small Business,27-10-2019,76.92
69,169,Converted,Dealer 2,Electrical fans,South,Small Business,06-07-2019,154.9
70,170,Converted,Dealer 3, Home Automation,Central,Wholesale,28-06-2022,770.352
71,171,Converted,Dealer 1,Modular Switches,West,Wholesale,19-10-2022,157.92
72,172,Not Converted,Dealer 3,Modular Switches,East,Enterprise,30-12-2022,203.184
73,173,Not Converted,Dealer 4, Home Automation,Central,Enterprise,29-11-2022,28.28
74,174,Not Converted,Dealer 2,Cabels ,North,Wholesale,21-11-2019,51.184
75,175,Converted,Dealer 2,Cabels ,West,Individual,07-06-2019,21.88
76,176,Converted,Dealer 2, Home Automation,East,Individual,15-05-2019,41.904
77,177,Not Converted,Dealer 4,Electrical fans,South,Individual,03-04-2019,4.544
78,178,Converted,Dealer 6,MCBs,North,Retail,22-03-2022,1352.032
79,179,Not Converted,Dealer 2,Cabels ,South,Enterprise,26-01-2019,129.98
80,180,Not Converted,Dealer 2,MCBs,North,Individual,21-09-2019,32.54
81,181,Not Converted,Dealer 4,Modular Switches,East,Individual,21-10-2022,84.784
82,182,Converted,Dealer 5,Modular Switches,North,Individual,20-04-2019,14.98
83,183,Not Converted,Dealer 2,Cabels ,East,Wholesale,09-10-2019,20.32
84,184,Converted,Dealer 2,Electrical fans,Central,Small Business,29-05-2022,11.992
85,185,Converted,Dealer 6,Modular Switches,Central,Retail,21-06-2022,3.168
86,186,Not Converted,Dealer 1,MCBs,North,Small Business,18-10-2019,528.43
87,187,Not Converted,Dealer 1,Electrical fans,West,Enterprise,12-12-2022,58.58
88,188,Not Converted,Dealer 2,Cabels ,South,Small Business,08-03-2019,17.04
89,189,Not Converted,Dealer 3,Modular Switches,North,Retail,09-10-2019,20.24
90,190,Converted,Dealer 5,Cabels ,North,Individual,20-09-2019,39.92
91,191,Converted,Dealer 6,Electrical fans,South,Individual,09-08-2019,32.54
92,192,Not Converted,Dealer 3,Electrical fans,North,Wholesale,19-02-2019,844.116
93,193,Converted,Dealer 6,Electrical fans,South,Wholesale,15-03-2022,812.736
94,194,Converted,Dealer 4, Home Automation,East,Retail,23-03-2022,29.8
95,195,Converted,Dealer 6, Home Automation,West,Individual,15-06-2022,414
96,196,Converted,Dealer 6,MCBs,Central,Small Business,18-12-2022,41.328
97,197,Converted,Dealer 6,Electrical fans,Central,Small Business,22-08-2022,158.376
98,198,Not Converted,Dealer 1,Electrical fans,West,Retail,18-11-2022,327.996
99,199,Converted,Dealer 4,Modular Switches,South,Wholesale,21-11-2022,35.12
100,200,Not Converted,Dealer 6,MCBs,West,Small Business,31-10-2019,30.144
101,201,Not Converted,Dealer 4,MCBs,South,Enterprise,26-10-2022,14.352
102,202,Not Converted,Dealer 4,Cabels ,West,Retail,29-12-2019,1317.492
103,203,Not Converted,Dealer 4,Electrical fans,North,Enterprise,01-10-2022,3.592
104,204,Converted,Dealer 3,Modular Switches,North,Enterprise,12-09-2019,7.04
105,205,Converted,Dealer 6,Cabels ,West,Wholesale,23-10-2019,71.12
106,206,Not Converted,Dealer 1, Home Automation,East,Individual,09-02-2019,259.96
107,207,Not Converted,Dealer 1,Electrical fans,West,Retail,05-10-2022,588.784
108,208,Converted,Dealer 1,MCBs,Central,Individual,01-04-2019,82.64
109,209,Not Converted,Dealer 1,Electrical fans,North,Small Business,07-01-2019,89.97
110,210,Not Converted,Dealer 6,Electrical fans,West,Small Business,25-08-2019,658.746
111,211,Converted,Dealer 1, Home Automation,Central,Retail,18-06-2019,121.104
112,212,Not Converted,Dealer 5,Modular Switches,North,Wholesale,07-04-2019,24.7
113,213,Converted,Dealer 3,Modular Switches,East,Small Business,28-02-2019,8.904
114,214,Not Converted,Dealer 2,Modular Switches,East,Small Business,21-06-2022,23.2
115,215,Converted,Dealer 1,Cabels ,Central,Individual,08-07-2022,113.76
116,216,Converted,Dealer 2,Modular Switches,West,Small Business,24-01-2022,48.032
117,217,Not Converted,Dealer 2,Cabels ,North,Wholesale,09-05-2022,638.288
118,218,Converted,Dealer 2, Home Automation,East,Small Business,29-08-2022,13.208
119,219,Converted,Dealer 4,Electrical fans,Central,Small Business,09-11-2019,194.352
120,220,Not Converted,Dealer 1,Cabels ,South,Enterprise,15-09-2022,36.624
121,221,Converted,Dealer 5, Home Automation,West,Wholesale,19-12-2019,383.8
122,222,Converted,Dealer 4,Cabels ,South,Small Business,23-03-2022,933.536
123,223,Not Converted,Dealer 6, Home Automation,West,Wholesale,04-08-2022,1121.568
124,224,Not Converted,Dealer 1,Modular Switches,North,Wholesale,20-06-2022,39.96
